,Id,geometry,Nearest_Node_ID,Nearest_Cooling_Center,Cooling_Center_ID,Driving_Time_Minutes
738,0,"POLYGON Z ((-93.56809999980032 41.591499999165535 0, -93.56819999963045 41.591499999165535 0, -93.56819999963045 41.591700000688434 0, -93.56809999980032 41.591700000688434 0, -93.56809999980032 41.591499999165535 0))",160855383.0,East Side Library,160775687.0,32.0
739,0,"POLYGON Z ((-93.5754000004381 41.59999999962747 0, -93.57569999992847 41.59999999962747 0, -93.57569999992847 41.600199999287724 0, -93.57529999967664 41.600199999287724 0, -93.57529999967664 41.59999999962747 0, -93.5754000004381 41.59999999962747 0, -93.5754000004381 41.59999999962747 0))",160913349.0,East Side Library,160775687.0,26.0
740,0,"POLYGON Z ((-93.57129999995232 41.58090000040829 0, -93.57129999995232 41.580800000578165 0, -93.57139999978244 41.580800000578165 0, -93.57139999978244 41.58090000040829 0, -93.57129999995232 41.58090000040829 0))",160844012.0,East Side Library,160775687.0,60.0
741,0,"POLYGON Z ((-93.57210000045598 41.59759999997914 0, -93.57210000045598 41.59759999997914 0, -93.57199999969453 41.59759999997914 0, -93.57199999969453 41.597400000318885 0, -93.57210000045598 41.597400000318885 0, -93.57210000045598 41.59759999997914 0, -93.57210000045598 41.59759999997914 0))",160860684.0,East Side Library,160775687.0,24.0
742,0,"POLYGON Z ((-93.57320000045002 41.59139999933541 0, -93.57320000045002 41.59139999933541 0, -93.57320000045002 41.591499999165535 0, -93.57320000045002 41.591499999165535 0, -93.57320000045002 41.59139999933541 0))",160855373.0,East Side Library,160775687.0,36.0
743,0,"POLYGON Z ((-93.57919999957085 41.594799999147654 0, -93.57919999957085 41.59469999931753 0, -93.5793000003323 41.59469999931753 0, -93.5793000003323 41.594799999147654 0, -93.57919999957085 41.594799999147654 0))",160908772.0,East Side Library,160775687.0,34.0
744,0,"POLYGON Z ((-93.57390000019222 41.59610000066459 0, -93.57400000002235 41.59610000066459 0, -93.57400000002235 41.596300000324845 0, -93.57390000019222 41.596300000324845 0, -93.57390000019222 41.59610000066459 0))",160964075.0,East Side Library,160775687.0,26.0
745,0,"POLYGON Z ((-93.57949999999255 41.59889999963343 0, -93.57949999999255 41.598799999803305 0, -93.57959999982268 41.598799999803305 0, -93.57959999982268 41.59889999963343 0, -93.57949999999255 41.59889999963343 0))",160865365.0,East Side Library,160775687.0,34.0
746,0,"POLYGON Z ((-93.57990000024438 41.58349999971688 0, -93.57990000024438 41.5832000002265 0, -93.57990000024438 41.5832000002265 0, -93.57990000024438 41.58290000073612 0, -93.57990000024438 41.58290000073612 0, -93.57990000024438 41.58269999921322 0, -93.5796999996528 41.58269999921322 0, -93.5796999996528 41.58229999989271 0, -93.5800000000745 41.58229999989271 0, -93.5800000000745 41.58180000074208 0, -93.57990000024438 41.58180000074208 0, -93.57990000024438 41.58180000074208 0, -93.57980000041425 41.58180000074208 0, -93.5796999996528 41.58159999921918 0, -93.58009999990463 41.58159999921918 0, -93.58009999990463 41.58149999938905 0, -93.58059999998659 41.58149999938905 0, -93.58059999998659 41.58159999921918 0, -93.58040000032634 41.58159999921918 0, -93.58040000032634 41.581900000572205 0, -93.58079999964684 41.581900000572205 0, -93.58079999964684 41.58210000023246 0, -93.58040000032634 41.58210000023246 0, -93.58040000032634 41.58310000039637 0, -93.58050000015646 41.58310000039637 0, -93.58050000015646 41.58349999971688 0, -93.57990000024438 41.58349999971688 0))",160944589.0,Pioneer Columbus Community Recreation Center,160872954.0,26.0
747,0,"POLYGON Z ((-93.57440000027418 41.58259999938309 0, -93.57440000027418 41.582499999552965 0, -93.57450000010431 41.582499999552965 0, -93.57450000010431 41.582499999552965 0, -93.57450000010431 41.582499999552965 0, -93.57450000010431 41.58259999938309 0, -93.57440000027418 41.58259999938309 0))",8279186156.0,East Side Library,160775687.0,64.0
748,0,"POLYGON Z ((-93.57650000043213 41.59610000066459 0, -93.57660000026226 41.59610000066459 0, -93.57670000009239 41.59620000049472 0, -93.57660000026226 41.59620000049472 0, -93.57650000043213 41.59610000066459 0))",160930560.0,East Side Library,160775687.0,30.0
749,0,"POLYGON Z ((-93.57660000026226 41.59759999997914 0, -93.57670000009239 41.59759999997914 0, -93.57670000009239 41.597699999809265 0, -93.57660000026226 41.597699999809265 0, -93.57660000026226 41.59759999997914 0))",160895335.0,East Side Library,160775687.0,28.0
750,0,"POLYGON Z ((-93.58090000040829 41.59589999914169 0, -93.58090000040829 41.595799999311566 0, -93.58100000023842 41.595799999311566 0, -93.58100000023842 41.59589999914169 0, -93.58090000040829 41.59589999914169 0))",160835778.0,East Side Library,160775687.0,36.0
751,0,"POLYGON Z ((-93.52929999958724 41.57980000041425 0, -93.52929999958724 41.579700000584126 0, -93.52940000034869 41.579700000584126 0, -93.52940000034869 41.57980000041425 0, -93.52929999958724 41.57980000041425 0))",160721559.0,Pleasant Hill Public Library,160818817.0,26.0
752,0,"POLYGON Z ((-93.53060000017285 41.599300000816584 0, -93.53070000000298 41.599300000816584 0, -93.5307999998331 41.59940000064671 0, -93.53070000000298 41.59940000064671 0, -93.53060000017285 41.599300000816584 0))",160946432.0,Pleasant Hill Public Library,160818817.0,14.0
753,0,"POLYGON Z ((-93.53320000041276 41.589299999177456 0, -93.53320000041276 41.58919999934733 0, -93.53320000041276 41.58919999934733 0, -93.53320000041276 41.58919999934733 0, -93.53340000007302 41.58919999934733 0, -93.53340000007302 41.58919999934733 0, -93.53349999990314 41.58919999934733 0, -93.53349999990314 41.58919999934733 0, -93.53359999973327 41.58919999934733 0, -93.53359999973327 41.589299999177456 0, -93.53349999990314 41.589299999177456 0, -93.53349999990314 41.589299999177456 0, -93.53320000041276 41.589299999177456 0))",160855299.0,Pleasant Hill Public Library,160818817.0,18.0
754,0,"POLYGON Z ((-93.53349999990314 41.5964999999851 0, -93.53349999990314 41.59640000015497 0, -93.5336999995634 41.59640000015497 0, -93.5336999995634 41.5964999999851 0, -93.53349999990314 41.5964999999851 0))",160759157.0,Pleasant Hill Public Library,160818817.0,18.0
755,0,"POLYGON Z ((-93.54580000042915 41.59070000052452 0, -93.54580000042915 41.590600000694394 0, -93.54590000025928 41.590600000694394 0, -93.54590000025928 41.59070000052452 0, -93.54580000042915 41.59070000052452 0))",160855281.0,Fourmile Community Recreation Center ,160848580.0,36.0
756,0,"POLYGON Z ((-93.54789999965578 41.58960000053048 0, -93.54800000041723 41.58960000053048 0, -93.54800000041723 41.58960000053048 0, -93.54789999965578 41.58960000053048 0, -93.54789999965578 41.58960000053048 0))",160805054.0,Fourmile Community Recreation Center ,160848580.0,40.0
757,0,"POLYGON Z ((-93.54999999981374 41.58349999971688 0, -93.54999999981374 41.58339999988675 0, -93.55009999964386 41.58339999988675 0, -93.55009999964386 41.58349999971688 0, -93.54999999981374 41.58349999971688 0))",160940984.0,Fourmile Community Recreation Center ,160848580.0,50.0
758,0,"POLYGON Z ((-93.55530000012368 41.57200000062585 0, -93.55520000029355 41.57200000062585 0, -93.55559999961406 41.57169999927282 0, -93.55580000020564 41.57179999910295 0, -93.55570000037551 41.57179999910295 0, -93.55580000020564 41.57179999910295 0, -93.55570000037551 41.57190000079572 0, -93.55570000037551 41.57200000062585 0, -93.55559999961406 41.57200000062585 0, -93.55559999961406 41.57200000062585 0, -93.5553999999538 41.572100000455976 0, -93.55530000012368 41.572100000455976 0, -93.55530000012368 41.57200000062585 0))",160927367.0,East Side Library,160775687.0,52.0
759,0,"POLYGON Z ((-93.55939999967813 41.5929000005126 0, -93.55939999967813 41.5929000005126 0, -93.55950000043958 41.5929000005126 0, -93.55950000043958 41.5929000005126 0, -93.55939999967813 41.5929000005126 0))",160886083.0,East Side Library,160775687.0,38.0
760,0,"POLYGON Z ((-93.55939999967813 41.598500000312924 0, -93.55950000043958 41.598500000312924 0, -93.55950000043958 41.598500000312924 0, -93.55939999967813 41.598500000312924 0, -93.55939999967813 41.598500000312924 0))",160886096.0,East Side Library,160775687.0,30.0
